"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.04075763360603e-08,2.57720626701951,0.564,0.11,0.000336008602009707,"17","Pde5a"
1.06832888266846e-08,2.84791141530487,0.533,0.028,0.000344909979769512,"17","Rag1"
1.10181055594746e-08,0.939730748358163,0.955,0.737,0.000355719537987637,"17","Ube2i"
1.1169541424805e-08,2.08901701986343,0.655,0.196,0.000360608644899828,"17","Polh"
1.12742761915726e-08,1.85268693429391,0.736,0.268,0.00036399000684492,"17","Magi3"
1.13887367730747e-08,3.46435289697929,0.661,0.08,0.000367685366718716,"17","Ncaph"
1.21235035869098e-08,0.813299444013838,0.926,0.642,0.000391407313303382,"17","D8Ertd738e"
1.26636892079496e-08,1.4706460709903,0.787,0.356,0.000408847206078654,"17","Fh1"
1.30795505136321e-08,2.64752303752952,0.771,0.22,0.000422273288332611,"17","Kif20b"
1.30978841456246e-08,1.74479392898393,0.866,0.38,0.000422865189641489,"17","Tipin"
1.32670332417362e-08,2.63765963059191,0.907,0.276,0.000428326168209453,"17","Pde3b"
1.42409550391041e-08,0.855452012409803,0.643,0.248,0.000459769233437477,"17","Slc29a1"
1.42879341745184e-08,3.17091884999288,0.519,0.076,0.000461285954824325,"17","2610318N02Rik"
1.43423897407612e-08,1.8039458314091,0.886,0.396,0.000463044052780475,"17","Ncapd3"
1.49626681636315e-08,2.90237364135136,0.44,0.052,0.000483069741662843,"17","Espl1"
1.51406617832221e-08,2.61115273633199,0.628,0.124,0.000488816265671325,"17","Polq"
1.56692799256902e-08,1.30752647614595,0.804,0.414,0.000505882702400907,"17","Psmc4"
1.59093433935361e-08,3.58406288576745,0.543,0.064,0.000513633151460314,"17","Parpbp"
1.62022938579452e-08,1.28516985406666,0.829,0.414,0.00052309105720376,"17","Epb41l2"
1.74248810638178e-08,1.56601282736086,0.911,0.493,0.000562562285145358,"17","Pik3ap1"
1.76286454470804e-08,1.52670907955695,0.835,0.391,0.000569140818258992,"17","Sipa1"
1.76298814082667e-08,3.47936057978381,0.667,0.086,0.000569180721265892,"17","Ttk"
1.77841459760186e-08,1.43956764402205,0.564,0.208,0.000574161152835762,"17","Pole"
1.80994432035354e-08,1.42256235408502,0.702,0.263,0.00058434052382614,"17","Blm"
2.12887982505001e-08,1.1558102299664,0.926,0.673,0.000687308851517396,"17","Atp5o"
2.15703738470768e-08,2.1107926657648,0.663,0.181,0.000696399519652876,"17","Dhfr"
2.1718582756813e-08,2.27524656005414,0.57,0.12,0.000701184444303709,"17","Socs2"
2.27259650306652e-08,2.0315899993605,0.909,0.551,0.000733707781015025,"17","Ckap5"
2.40495844866619e-08,1.49616332545107,0.878,0.437,0.000776440835151879,"17","Hdac7"
2.44360674963088e-08,1.71701999415914,0.903,0.433,0.00078891843911833,"17","Ablim1"
2.47652714738411e-08,3.40727739833278,0.7,0.109,0.000799546789532958,"17","Ccnf"
2.74676908239175e-08,2.06552826124897,0.682,0.238,0.000886794398250178,"17","Bora"
3.06862828074867e-08,0.697330235069292,0.94,0.721,0.000990706640439708,"17","Ndufa2"
3.12830999995868e-08,3.0603971249513,0.411,0.048,0.00100997488348666,"17","Lrr1"
3.16455583911357e-08,1.02152790224146,0.952,0.683,0.00102167685265782,"17","Supt16"
3.19634125810888e-08,1.48976784220794,0.93,0.599,0.00103193877518045,"17","Raly"
3.31738013863673e-08,0.684839853804877,0.876,0.612,0.00107101617775887,"17","Smarce1"
3.36910876035288e-08,1.45317218146269,0.899,0.504,0.00108771676327993,"17","Tiam1"
3.43765866262904e-08,3.57859340987847,0.492,0.016,0.00110984809922978,"17","Hmgcll1"
3.44021002889606e-08,2.63559367183094,0.645,0.138,0.00111067180782909,"17","Mei4"
3.46488235345251e-08,1.66580380490247,0.725,0.243,0.00111863726781214,"17","Nudt4"
3.72903232795121e-08,2.01484146584052,0.911,0.404,0.00120391808707905,"17","Dnajc9"
3.97785392184486e-08,2.60070133854802,0.624,0.113,0.00128425013866761,"17","E2f8"
4.02127340658744e-08,1.01369275686738,0.928,0.699,0.00129826811931675,"17","Rnf169"
4.1042552163541e-08,1.98876037240391,0.618,0.162,0.00132505879659992,"17","Phldb3"
4.20910844022365e-08,1.48581493377965,0.926,0.621,0.00135891065992621,"17","Ndufs5"
4.35213654643427e-08,1.29756750474286,0.808,0.424,0.0014050872840163,"17","Nsmce1"
4.63464245077989e-08,2.02665608503831,0.93,0.545,0.00149629431523429,"17","Cd24a"
4.70615183353747e-08,1.56892096993262,0.548,0.204,0.00151938111945757,"17","Fancm"
4.73358381378993e-08,2.90772644427149,0.709,0.124,0.00152823753428208,"17","Cenpm"
5.29302703835728e-08,3.04482111588134,0.579,0.087,0.00170885377933365,"17","Efcab11"
5.36411135391693e-08,1.74708159861178,0.8,0.285,0.00173180335061208,"17","Ppp3cc"
5.9268911863251e-08,2.51749826948855,0.682,0.141,0.00191349681950506,"17","Gpam"
6.18132113148103e-08,2.97529154077075,0.723,0.15,0.00199563952729865,"17","Tacc3"
6.42089154546983e-08,1.64951905261079,0.975,0.644,0.00207298483545493,"17","Dleu2"
6.47833029576254e-08,3.81306480190549,0.56,0.054,0.00209152893598693,"17","Plk1"
6.47833029576254e-08,2.15844615800399,0.56,0.117,0.00209152893598693,"17","Kntc1"
6.58092610281025e-08,1.11205757039526,0.909,0.591,0.00212465199229229,"17","Rbm8a"
