"","mutant_1","mutant_2","mutant_3","mutant_4","wt_1","wt_2","wt_3","wt_4"
"AC132407.1",0,0,0,0,0,0,0,0
"Gm3985",0,0,0,0,2,3,0,0
"Gm45587",1,1,0,0,0,2,0,0
"Wrn",4626,4899,3258,2675,8399,8937,10100,7275
"Purg",529,597,427,311,1097,1139,1214,871
"Tex15",72,75,65,50,171,187,197,201
"Ppp2cb",2048,2040,1549,1174,3519,3645,4034,3063
"Ubxn8",1130,1125,775,627,1975,2074,2230,1616
"Gsr",4678,3849,3589,2930,6557,7652,8284,8272
"1700104B16Rik",1,1,5,2,0,1,2,3
"Gtf2e2",2843,2947,2135,1476,4075,4942,5027,3950
"Smim18",48,63,39,25,113,102,105,74
"Rbpms",11424,12568,8720,6955,19206,17595,21031,14812
"Gm26632",792,868,523,514,1450,1005,1454,902
"Gm26978",5,2,7,5,15,16,15,8
"Gm39157",0,0,0,0,0,0,0,0
"Gm9951",7,7,7,5,7,15,12,7
"Dctn6",2011,2051,1433,1069,2964,3320,3635,2768
"Gm10131",91,129,49,49,137,171,152,114
"Mboat4",17,20,10,6,26,24,16,12
"Gm39158",0,0,0,0,0,0,0,0
"Leprotl1",2786,2801,1829,1518,4591,5164,5465,4223
"Saraf",4573,4594,2906,2471,7555,7689,8503,6369
"Gm29243",37,32,25,25,44,64,50,56
"Gm45350",0,0,1,0,1,0,0,1
"Gm33831",0,0,0,0,0,0,0,0
"Gm45349",1,0,0,0,1,0,2,0
"Gm33968",0,0,0,0,0,0,0,0
"B930018H19Rik",7,8,1,0,26,13,12,9
"Gm34096",2,0,0,0,0,1,0,0
"Gm45627",2,1,0,1,2,1,0,2
"Dusp4",142,91,68,58,136,183,172,160
"Tnks",4544,4563,3087,2363,8077,8484,9050,6675
"Gm9939",6,5,4,0,8,5,10,2
"Gm34368",1,0,0,0,0,0,1,0
"Gm34419",1,0,0,0,0,0,0,0
"Gm45625",0,0,0,0,0,0,0,0
"Gm34474",1,3,0,2,2,0,5,2
"Gm34533",0,0,0,0,1,0,0,0
"Gm34597",0,1,0,0,1,0,0,0
"Gm45469",1,6,3,3,11,11,15,3
"Ppp1r3b",369,349,265,237,593,632,643,546
"Gm45301",0,0,0,0,0,0,0,0
"Gm34853",0,0,0,0,0,0,0,0
"Eri1",2671,2629,1802,1223,3600,4676,4480,3634
"Gm16793",2,2,1,5,8,16,12,8
"Mfhas1",722,699,486,453,1523,1697,1744,1415
"1700015I17Rik",0,0,0,1,0,0,0,1
"Gm35021",34,34,25,21,120,71,101,68
"Gm19410",1,0,1,0,0,0,0,1
"Cldn23",2,0,0,0,1,3,3,2
"5430403N17Rik",0,0,0,0,0,0,0,1
"Prag1",168,179,130,84,185,252,283,229
"Gm38414",4,5,6,0,0,4,3,4
"Gm39164",0,0,0,0,0,0,0,0
"4933430A20Rik",0,0,0,0,0,0,0,0
"Gm35520",0,0,3,1,2,4,3,2
"Lonrf1",838,739,552,419,1648,1723,1998,1566
"Trmt9b",8,1,3,6,2,3,1,3
"Dlc1",50,69,55,61,904,700,1013,507
"G630064G18Rik",2,3,1,0,1,0,2,1
"AI429214",57,66,52,39,91,107,118,79
"Gm45524",1,0,0,0,1,0,3,0
"Gm45368",0,0,1,0,0,0,0,0
"Sgcz",29,42,18,19,57,33,74,42
"Gm40493",0,0,0,0,0,0,0,0
"Tusc3",2037,2154,1502,1046,3136,3798,3951,2875
"Gm6213",1,3,2,16,14,18,12,15
"Msr1",6,17,6,11,58,64,53,26
"Fgf20",15,17,6,13,27,27,25,17
"Micu3",1888,1832,1321,1143,3349,3453,3608,2696
"Zdhhc2",287,321,228,137,454,597,525,482
"Cnot7",2294,2193,1535,1219,3882,3995,4352,3352
"Vps37a",1537,1551,1067,776,2655,2790,3016,2452
"Mtmr7",63,54,47,52,113,101,114,61
"Adam24",0,0,0,0,0,0,0,0
"Adam25",0,0,0,0,0,0,0,0
"Adam20",0,0,0,0,0,0,0,0
"Adam39",0,0,0,0,0,0,0,0
"Slc7a2",53,39,46,125,171,262,218,154
"Pdgfrl",16,27,20,26,41,35,38,24
"Mtus1",385,294,352,294,548,595,792,792
"B430010I23Rik",92,79,66,90,176,137,204,183
"Gm16192",8,6,17,19,18,24,27,27
"Gm16193",2,0,1,0,1,2,1,3
"Fgl1",1,0,0,3,2,1,2,0
"Gm16348",1,0,0,1,11,2,4,3
"Pcm1",7469,8283,5631,4157,12612,14004,14746,10488
"Asah1",2421,2552,1886,1603,5034,5271,5273,3902
"Frg1",4005,4305,3065,2248,6175,6889,7482,5370
"2810404M03Rik",0,6,1,3,5,1,5,0
"Triml1",0,0,0,0,1,0,0,0
"Triml2",1,2,2,3,2,5,6,3
"Zfp42",0,0,0,0,1,0,0,0
"Adam26b",0,0,1,0,0,0,0,0
"Adam26a",0,0,0,0,0,0,0,1
"Gm5346",0,0,0,0,0,0,0,0
"Adam34",2,0,0,2,1,1,4,1
"Gm45488",1,0,0,0,3,0,2,2
"Gm45659",0,0,0,0,0,0,0,0
"Gm9908",0,0,0,0,1,0,0,0
"Fat1",1,8,5,5,12,14,20,17
"Gm2366",0,0,0,0,0,0,0,0
"AY512931",0,0,0,0,1,0,0,0
"Mtnr1a",0,0,0,0,0,1,0,1
